iter	Passed	Remaining
0	1	194
1	2	141
2	3	120
3	4	106
4	5	98
5	5	93
6	6	90
7	7	88
8	8	89
9	9	87
10	10	84
11	11	81
12	12	80
13	12	79
14	13	77
15	14	76
16	15	74
17	16	73
18	16	71
19	17	70
20	18	68
21	19	68
22	20	67
23	20	65
24	21	64
25	22	63
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	28
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
